时间(s),电压(V)
0.296,0.453
0.296,0.259
0.296,0.505
0.296,0.181
0.296,0.518
0.297,0.181
0.297,0.492
0.297,0.634
0.297,0.440
0.297,0.608
0.297,0.375
0.297,0.595
0.297,0.673
0.297,0.556
0.297,0.660
0.297,0.712
0.297,0.647
0.297,0.699
0.297,0.712
0.297,0.699
0.297,0.712
0.297,0.699
0.297,0.712
0.298,0.699
0.298,0.660
0.369,0.712
0.369,0.673
0.369,0.608
0.369,0.686
0.369,0.621
0.369,0.427
0.382,0.634
0.487,0.492
0.487,0.233
0.487,0.531
0.487,0.181
0.488,0.505
0.488,0.285
0.488,0.466
0.488,0.621
0.488,0.401
0.571,0.595
0.571,0.518
0.571,0.569
0.571,0.660
0.571,0.556
0.571,0.660
0.571,0.712
0.591,0.634
0.591,0.699
0.608,0.712
0.625,0.699
0.625,0.712
0.640,0.699
0.654,0.712
0.670,0.699
0.685,0.660
0.685,0.699
0.701,0.673
0.717,0.595
0.743,0.686
0.744,0.621
0.744,0.479
0.783,0.634
0.785,0.518
0.785,0.168
0.813,0.544
0.813,0.569
0.834,0.479
0.834,0.349
0.852,0.440
0.852,0.608
0.868,0.362
0.884,0.582
0.899,0.272
0.899,0.556
0.915,0.660
0.930,0.518
0.946,0.647
0.946,0.699
0.961,0.634
0.977,0.686
0.991,0.712
1.008,0.673
1.008,0.699
1.022,0.699
1.038,0.699
1.055,0.699
1.055,0.673
1.072,0.699
1.088,0.673
1.102,0.621
1.102,0.699
1.118,0.634
1.132,0.479
1.148,0.634
1.149,0.518
1.165,0.168
1.181,0.556
1.196,0.259
1.196,0.466
1.213,0.375
1.228,0.401
1.244,0.582
1.244,0.311
1.261,0.582
1.275,0.220
1.290,0.544
1.290,0.660
1.306,0.518
1.321,0.634
1.337,0.673
1.353,0.608
1.353,0.686
1.367,0.699
1.383,0.673
1.398,0.712
1.398,0.699
1.413,0.699
1.428,0.712
1.443,0.673
1.458,0.712
1.458,0.686
1.473,0.621
1.487,0.699
1.503,0.634
1.517,0.518
1.517,0.673
1.534,0.556
1.548,0.246
1.564,0.582
1.579,0.324
1.579,0.427
1.594,0.414
1.609,0.362
1.624,0.582
1.624,0.544
1.640,0.556
1.655,0.194
1.670,0.518
1.684,0.647
1.684,0.479
1.700,0.621
1.715,0.686
1.730,0.608
1.745,0.686
1.746,0.712
1.762,0.673
1.777,0.699
1.791,0.712
1.791,0.699
1.806,0.699
1.821,0.686
1.836,0.712
1.852,0.699
1.852,0.634
1.867,0.699
1.883,0.647
1.899,0.531
1.899,0.660
1.914,0.556
1.931,0.259
1.947,0.582
1.947,0.362
1.961,0.388
1.977,0.440
1.992,0.311
2.008,0.569
2.008,0.194
2.023,0.544
2.039,0.660
2.055,0.518
2.055,0.634
2.070,0.479
2.086,0.621
2.101,0.686
2.101,0.595
2.117,0.673
2.134,0.699
2.148,0.660
2.148,0.699
2.164,0.712
2.179,0.699
2.195,0.712
2.210,0.686
2.210,0.712
2.226,0.699
2.241,0.647
2.256,0.712
2.256,0.660
2.272,0.556
2.287,0.673
2.301,0.582
2.316,0.349
2.316,0.608
2.333,0.427
2.348,0.634
