Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
0.296,0.453,18.12,0.167494287602644,0.0280543363795172
0.296,0.259,10.36,0.0685488226452662,0.00469894108605216
0.296,0.505,20.2,0.212813904598271,0.0452897579903621
0.296,0.181,7.24,0.0478630092322639,0.00229086765276777
0.296,0.518,20.72,0.225943577022098,0.0510504999975407
0.297,0.181,7.24,0.0478630092322639,0.00229086765276777
0.297,0.492,19.68,0.200447202736516,0.040179081084894
0.297,0.634,25.36,0.385478357665772,0.148593564228701
0.297,0.44,17.6,0.157761126969935,0.0248885731828239
0.297,0.608,24.32,0.341979442513709,0.116949939101987
0.297,0.375,15,0.116949939101987,0.0136772882559585
0.297,0.595,23.8,0.322106879128344,0.103752841581801
0.297,0.673,26.92,0.46131757456038,0.212813904598272
0.297,0.556,22.24,0.269153480392692,0.0724435960074991
0.297,0.66,26.4,0.434510224171572,0.18879913490963
0.297,0.712,28.48,0.552077439280758,0.304789498962799
0.297,0.647,25.88,0.409260659730011,0.167494287602644
0.297,0.699,27.96,0.519995996533516,0.270395836410885
0.297,0.712,28.48,0.552077439280758,0.304789498962799
0.297,0.699,27.96,0.519995996533516,0.270395836410885
0.297,0.712,28.48,0.552077439280758,0.304789498962799
0.297,0.699,27.96,0.519995996533516,0.270395836410885
0.297,0.712,28.48,0.552077439280758,0.304789498962799
0.298,0.699,27.96,0.519995996533516,0.270395836410885
0.298,0.66,26.4,0.434510224171572,0.18879913490963
0.369,0.712,28.48,0.552077439280758,0.304789498962799
0.369,0.673,26.92,0.46131757456038,0.212813904598272
0.369,0.608,24.32,0.341979442513709,0.116949939101987
0.369,0.686,27.44,0.489778819368447,0.239883291901949
0.369,0.621,24.84,0.363078054770102,0.131825673855641
0.369,0.427,17.08,0.148593564228701,0.022080047330189
0.382,0.634,25.36,0.385478357665772,0.148593564228701
0.487,0.492,19.68,0.200447202736516,0.040179081084894
0.487,0.233,9.32,0.0608135001278718,0.00369828179780267
0.487,0.531,21.24,0.239883291901949,0.0575439937337158
0.487,0.181,7.24,0.0478630092322639,0.00229086765276777
0.488,0.505,20.2,0.212813904598271,0.0452897579903621
0.488,0.285,11.4,0.0772680585095703,0.00597035286583838
0.488,0.466,18.64,0.177827941003892,0.0316227766016838
0.488,0.621,24.84,0.363078054770102,0.131825673855641
0.488,0.401,16.04,0.131825673855641,0.0173780082874938
0.571,0.595,23.8,0.322106879128344,0.103752841581801
0.571,0.518,20.72,0.225943577022098,0.0510504999975407
0.571,0.569,22.76,0.285759054337495,0.0816582371358593
0.571,0.66,26.4,0.434510224171572,0.18879913490963
0.571,0.556,22.24,0.269153480392692,0.0724435960074991
0.571,0.66,26.4,0.434510224171572,0.18879913490963
0.571,0.712,28.48,0.552077439280758,0.304789498962799
0.591,0.634,25.36,0.385478357665772,0.148593564228701
0.591,0.699,27.96,0.519995996533516,0.270395836410885
0.608,0.712,28.48,0.552077439280758,0.304789498962799
0.625,0.699,27.96,0.519995996533516,0.270395836410885
0.625,0.712,28.48,0.552077439280758,0.304789498962799
0.64,0.699,27.96,0.519995996533516,0.270395836410885
0.654,0.712,28.48,0.552077439280758,0.304789498962799
0.67,0.699,27.96,0.519995996533516,0.270395836410885
0.685,0.66,26.4,0.434510224171572,0.18879913490963
0.685,0.699,27.96,0.519995996533516,0.270395836410885
0.701,0.673,26.92,0.46131757456038,0.212813904598272
0.717,0.595,23.8,0.322106879128344,0.103752841581801
0.743,0.686,27.44,0.489778819368447,0.239883291901949
0.744,0.621,24.84,0.363078054770102,0.131825673855641
0.744,0.479,19.16,0.188799134909629,0.0356451133426244
0.783,0.634,25.36,0.385478357665772,0.148593564228701
0.785,0.518,20.72,0.225943577022098,0.0510504999975407
0.785,0.168,6.72,0.0450816704541461,0.00203235701093622
0.813,0.544,21.76,0.254683025258504,0.064863443354824
0.813,0.569,22.76,0.285759054337495,0.0816582371358593
0.834,0.479,19.16,0.188799134909629,0.0356451133426244
0.834,0.349,13.96,0.103752841581801,0.0107646521362984
0.852,0.44,17.6,0.157761126969935,0.0248885731828239
0.852,0.608,24.32,0.341979442513709,0.116949939101987
0.868,0.362,14.48,0.110153930954142,0.0121338885046498
