Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
0.296,0.207,8.28,0.057279603098583,0.00328095293113119
0.296,0.544,21.76,0.270395836410884,0.0731139083483418
0.296,0.194,7.76,0.0539510622515128,0.00291071711806661
0.296,0.492,19.68,0.212813904598271,0.0452897579903621
0.296,0.285,11.4,0.0820351544329818,0.00672976656284318
0.297,0.453,18.12,0.177827941003892,0.0316227766016838
0.297,0.621,24.84,0.385478357665772,0.148593564228701
0.297,0.388,15.52,0.131825673855641,0.0173780082874938
0.297,0.595,23.8,0.341979442513709,0.116949939101987
0.297,0.298,11.92,0.0870963589956081,0.00758577575029184
0.297,0.569,22.76,0.303389118419427,0.0920449571753171
0.297,0.673,26.92,0.489778819368446,0.239883291901949
0.297,0.544,21.76,0.270395836410884,0.0731139083483418
0.297,0.66,26.4,0.461317574560379,0.212813904598271
0.297,0.712,28.48,0.586138164514029,0.343557947899875
0.297,0.647,25.88,0.434510224171572,0.188799134909629
0.297,0.699,27.96,0.552077439280757,0.304789498962798
0.297,0.725,29,0.622300285169159,0.387257644921617
0.297,0.686,27.44,0.519995996533516,0.270395836410885
0.297,0.725,29,0.622300285169159,0.387257644921617
0.297,0.712,28.48,0.586138164514029,0.343557947899875
0.297,0.725,29,0.622300285169159,0.387257644921617
0.297,0.712,28.48,0.586138164514029,0.343557947899875
0.298,0.686,27.44,0.519995996533516,0.270395836410885
0.298,0.725,29,0.622300285169159,0.387257644921617
0.369,0.686,27.44,0.519995996533516,0.270395836410885
0.369,0.621,24.84,0.385478357665772,0.148593564228701
0.369,0.699,27.96,0.552077439280757,0.304789498962798
0.369,0.634,25.36,0.409260659730011,0.167494287602644
0.369,0.479,19.16,0.200447202736516,0.040179081084894
0.369,0.66,26.4,0.461317574560379,0.212813904598271
0.382,0.531,21.24,0.254683025258504,0.0648634433548238
0.487,0.181,7.24,0.0508159442560561,0.0025822601906346
0.487,0.569,22.76,0.303389118419427,0.0920449571753171
0.487,0.259,10.36,0.0727779804536824,0.00529663443891658
0.487,0.479,19.16,0.200447202736516,0.040179081084894
0.488,0.375,15,0.124165230759241,0.0154170045294956
0.488,0.414,16.56,0.148593564228701,0.022080047330189
0.488,0.608,24.32,0.363078054770101,0.131825673855641
0.488,0.336,13.44,0.103752841581801,0.0107646521362983
0.488,0.582,23.28,0.322106879128343,0.103752841581801
0.571,0.298,11.92,0.0870963589956081,0.00758577575029184
0.571,0.556,22.24,0.285759054337495,0.0816582371358593
0.571,0.66,26.4,0.461317574560379,0.212813904598271
0.571,0.518,20.72,0.239883291901949,0.0575439937337157
0.571,0.647,25.88,0.434510224171572,0.188799134909629
0.571,0.712,28.48,0.586138164514029,0.343557947899875
0.571,0.634,25.36,0.409260659730011,0.167494287602644
0.591,0.699,27.96,0.552077439280757,0.304789498962798
0.608,0.712,28.48,0.586138164514029,0.343557947899875
0.608,0.686,27.44,0.519995996533516,0.270395836410885
0.625,0.712,28.48,0.586138164514029,0.343557947899875
0.64,0.712,28.48,0.586138164514029,0.343557947899875
0.654,0.725,29,0.622300285169159,0.387257644921617
0.654,0.725,29,0.622300285169159,0.387257644921617
0.67,0.686,27.44,0.519995996533516,0.270395836410885
0.685,0.725,29,0.622300285169159,0.387257644921617
0.701,0.699,27.96,0.552077439280757,0.304789498962798
0.701,0.621,24.84,0.385478357665772,0.148593564228701
0.717,0.712,28.48,0.586138164514029,0.343557947899875
0.743,0.647,25.88,0.434510224171572,0.188799134909629
0.744,0.518,20.72,0.239883291901949,0.0575439937337157
0.783,0.647,25.88,0.434510224171572,0.188799134909629
0.783,0.544,21.76,0.270395836410884,0.0731139083483418
0.785,0.22,8.8,0.0608135001278718,0.00369828179780266
0.785,0.582,23.28,0.322106879128343,0.103752841581801
0.813,0.582,23.28,0.322106879128343,0.103752841581801
0.813,0.427,17.08,0.157761126969935,0.0248885731828239
0.834,0.401,16.04,0.139958732257262,0.0195884467350599
0.834,0.375,15,0.124165230759241,0.0154170045294956
0.852,0.595,23.8,0.341979442513709,0.116949939101987
0.868,0.285,11.4,0.0820351544329818,0.00672976656284318
0.869,0.569,22.76,0.303389118419427,0.0920449571753171
0.884,0.142,5.68,0.0424619563946313,0.00180301774085957
0.899,0.544,21.76,0.270395836410884,0.0731139083483418
0.915,0.66,26.4,0.461317574560379,0.212813904598271
0.915,0.505,20.2,0.225943577022098,0.0510504999975407
0.93,0.634,25.36,0.409260659730011,0.167494287602644
0.946,0.699,27.96,0.552077439280757,0.304789498962798
0.961,0.621,24.84,0.385478357665772,0.148593564228701
0.977,0.699,27.96,0.552077439280757,0.304789498962798
0.977,0.712,28.48,0.586138164514029,0.343557947899875
