SNR_dB,FixedShort_Channel_NMSE_dB,Adaptive_Channel_NMSE_dB,FixedLong_Channel_NMSE_dB,FixedShort_DOA_RMSE_deg,Adaptive_DOA_RMSE_deg,FixedLong_DOA_RMSE_deg,FixedShort_Success,Adaptive_Success,FixedLong_Success,AverageSelectedPilots,MedianSelectedPilots,MaxLengthProbability,AveragePredictedDOA_CRLB_deg,AveragePredictedChannel_CRLB_NMSE_dB
0,-14.0609807182217,-21.3623423597692,-21.3623423597692,2.59584833805996,1.09657946180424,1.09657946180424,0.13,0.543333333333333,0.543333333333333,40,40,1,0.777258719127284,-21.3068214837217
2,-16.2838650858202,-23.40725606928,-23.40725606928,1.96386923562027,0.884944726664385,0.884944726664385,0.153333333333333,0.716666666666667,0.716666666666667,40,40,1,0.619692084281578,-23.2718560847598
4,-18.1583266332191,-25.0525048458704,-25.2293068183228,1.61317019172054,0.713485921111273,0.699900137611796,0.27,0.873333333333333,0.876666666666667,38.9066666666667,40,0.726666666666667,0.497140687989011,-25.1553871147614
6,-20.0893887426335,-25.2672288854451,-27.0152973771204,1.24506041359591,0.689180641553772,0.551886813675901,0.49,0.893333333333333,0.976666666666667,25.6666666666667,24,0,0.483376597708932,-25.3695270236744
8,-22.245069279984,-25.5963364397323,-29.3960304025623,0.95620289321007,0.658120101260498,0.438097949925309,0.666666666666667,0.913333333333333,0.993333333333333,16.6933333333333,16,0,0.482002671438017,-25.4406742993116
10,-24.3343602062967,-26.1171671073017,-31.1690555149835,0.770166667436629,0.617672310034013,0.358361176560382,0.826666666666667,0.943333333333333,1,12,12,0,0.433994914486671,-25.9968116175931
12,-26.3099269318574,-26.3099269318574,-33.3384485362399,0.595177800787574,0.595177800787574,0.272906395693386,0.95,0.95,1,8,8,0,0.434334106274567,-26.2420724816787
14,-28.2532247033134,-28.2532247033134,-35.3188923082373,0.497367152631434,0.497367152631434,0.223711735590118,0.976666666666667,0.976666666666667,1,8,8,0,0.344465455182978,-28.2525124615113
16,-30.2888025904137,-30.2888025904137,-37.1482761970403,0.374478963813256,0.374478963813256,0.175778958589613,1,1,1,8,8,0,0.273311724560529,-30.2620682901774
18,-32.3214560638979,-32.3214560638979,-39.5086168956673,0.307118396694914,0.307118396694914,0.133550309696337,1,1,1,8,8,0,0.217232365086365,-32.2531100028724
20,-34.4339024232504,-34.4339024232504,-41.4214306866118,0.244748836199762,0.244748836199762,0.109623077026906,1,1,1,8,8,0,0.172593589401245,-34.2488150082131
