DataSNR_dB,DataReference,SymbolErrorCount,EmpiricalSER,PlottedSER,NormalizedMinimumEnergyDistance
-12,No reference,7468,0.7468,0.7468,0
-9,No reference,7467,0.7467,0.7467,0
-6,No reference,7457,0.7457,0.7457,0
-3,No reference,7456,0.7456,0.7456,0
0,No reference,7456,0.7456,0.7456,0
3,No reference,7456,0.7456,0.7456,0
6,No reference,7456,0.7456,0.7456,0
9,No reference,7456,0.7456,0.7456,0
12,No reference,7456,0.7456,0.7456,0
-12,Constant,2288,0.2288,0.2288,8.95010862705489
-9,Constant,832,0.0832,0.0832,8.95010862705489
-6,Constant,147,0.0147,0.0147,8.95010862705489
-3,Constant,9,0.0009,0.0009,8.95010862705489
0,Constant,0,0,5e-05,8.95010862705489
3,Constant,0,0,5e-05,8.95010862705489
6,Constant,0,0,5e-05,8.95010862705489
9,Constant,0,0,5e-05,8.95010862705489
12,Constant,0,0,5e-05,8.95010862705489
-12,Random,2104,0.2104,0.2104,9.41747405547853
-9,Random,769,0.0769,0.0769,9.41747405547853
-6,Random,105,0.0105,0.0105,9.41747405547853
-3,Random,4,0.0004,0.0004,9.41747405547853
0,Random,0,0,5e-05,9.41747405547853
3,Random,0,0,5e-05,9.41747405547853
6,Random,0,0,5e-05,9.41747405547853
9,Random,0,0,5e-05,9.41747405547853
12,Random,0,0,5e-05,9.41747405547853
-12,Uniform,2164,0.2164,0.2164,9.79390435618978
-9,Uniform,790,0.079,0.079,9.79390435618978
-6,Uniform,109,0.0109,0.0109,9.79390435618978
-3,Uniform,5,0.0005,0.0005,9.79390435618978
0,Uniform,0,0,5e-05,9.79390435618978
3,Uniform,0,0,5e-05,9.79390435618978
6,Uniform,0,0,5e-05,9.79390435618978
9,Uniform,0,0,5e-05,9.79390435618978
12,Uniform,0,0,5e-05,9.79390435618978
-12,Optimized,2164,0.2164,0.2164,9.79390435618978
-9,Optimized,790,0.079,0.079,9.79390435618978
-6,Optimized,109,0.0109,0.0109,9.79390435618978
-3,Optimized,5,0.0005,0.0005,9.79390435618978
0,Optimized,0,0,5e-05,9.79390435618978
3,Optimized,0,0,5e-05,9.79390435618978
6,Optimized,0,0,5e-05,9.79390435618978
9,Optimized,0,0,5e-05,9.79390435618978
12,Optimized,0,0,5e-05,9.79390435618978
