TrainingSNR_dB,TrainingReference,SymbolErrorCount,EmpiricalSER,PlottedSER,ChannelNMSE_dB
-6,No reference,7285,0.7285,0.7285,3.18029401567621
-3,No reference,7396,0.7396,0.7396,3.13747698224191
0,No reference,7272,0.7272,0.7272,3.03140516274559
3,No reference,7615,0.7615,0.7615,3.10857870306088
6,No reference,7519,0.7519,0.7519,3.06206829988682
9,No reference,7309,0.7309,0.7309,2.95069936210606
12,No reference,7457,0.7457,0.7457,3.00043025682369
15,No reference,7489,0.7489,0.7489,2.97017688153442
18,No reference,7488,0.7488,0.7488,2.97555443840673
-6,Constant,2092,0.2092,0.2092,0.338478496518329
-3,Constant,914,0.0914,0.0914,-2.20739419932728
0,Constant,386,0.0386,0.0386,-4.96277308523946
3,Constant,226,0.0226,0.0226,-7.91215404547759
6,Constant,153,0.0153,0.0153,-10.8982281365369
9,Constant,128,0.0128,0.0128,-13.9096637324816
12,Constant,114,0.0114,0.0114,-16.9308505824948
15,Constant,112,0.0112,0.0112,-19.93913756866
18,Constant,105,0.0105,0.0105,-22.9422008709177
-6,Random,1931,0.1931,0.1931,0.272871528984514
-3,Random,889,0.0889,0.0889,-2.14179958778079
0,Random,401,0.0401,0.0401,-5.03869405539309
3,Random,219,0.0219,0.0219,-8.10330184026673
6,Random,162,0.0162,0.0162,-11.1841192602971
9,Random,127,0.0127,0.0127,-14.2047329893909
12,Random,111,0.0111,0.0111,-17.2338247290582
15,Random,104,0.0104,0.0104,-20.242534398095
18,Random,99,0.0099,0.0099,-23.2458253243919
-6,Uniform,2040,0.204,0.204,0.336252493075889
-3,Uniform,930,0.093,0.093,-2.03527228725751
0,Uniform,417,0.0417,0.0417,-4.82569374929873
3,Uniform,220,0.022,0.022,-7.74156862055879
6,Uniform,147,0.0147,0.0147,-10.6867127595109
9,Uniform,123,0.0123,0.0123,-13.6709346601937
12,Uniform,107,0.0107,0.0107,-16.6690075706209
15,Uniform,100,0.01,0.01,-19.6700895475503
18,Uniform,100,0.01,0.01,-22.6724334917455
-6,Optimized,1998,0.1998,0.1998,0.369182798818849
-3,Optimized,917,0.0917,0.0917,-2.0207993477079
0,Optimized,388,0.0388,0.0388,-4.82641545790417
3,Optimized,218,0.0218,0.0218,-7.81753695003875
6,Optimized,151,0.0151,0.0151,-10.8366686207597
9,Optimized,117,0.0117,0.0117,-13.8590989306578
12,Optimized,110,0.011,0.011,-16.8730381406971
15,Optimized,106,0.0106,0.0106,-19.8798154027271
18,Optimized,105,0.0105,0.0105,-22.8838618756795
