SNR_dB,No_reference_SER,Constant_SER,Random_SER,Uniform_SER,Optimized_SER
-15,0.743055555555556,0.351944444444444,0.364166666666667,0.370277777777778,0.363055555555556
-13,0.743888888888889,0.269166666666667,0.263333333333333,0.269444444444444,0.261944444444444
-11,0.759722222222222,0.156666666666667,0.175555555555556,0.158333333333333,0.170277777777778
-9,0.740277777777778,0.0858333333333333,0.0738888888888889,0.0775,0.0758333333333333
-7,0.735833333333333,0.0230555555555556,0.0205555555555556,0.0230555555555556,0.0255555555555556
-5,0.745,0.00444444444444444,0.00416666666666667,0.0025,0.00416666666666667
-3,0.746111111111111,0,0,0.000555555555555556,0
-1,0.751111111111111,0,0,0,0
1,0.753333333333333,0,0,0,0
3,0.746666666666667,0,0,0,0
