SNR_dB,Modulation,Order,NumberOfJointCandidates,SymbolErrorCount,EmpiricalSER,PlottedSER,ZeroErrorPoint,SER_95CI_Lower,SER_95CI_Upper,ReducedSubspaceRank,ProjectionResidual
-12,QPSK,4,16,2096,0.2096,0.2096,0,0.201734615957025,0.217688418490061,6,8.33261293012224e-16
-9,QPSK,4,16,716,0.0716,0.0716,0,0.0667094447489505,0.0768195771419999,6,8.33261293012224e-16
-6,QPSK,4,16,108,0.0108,0.0108,0,0.00895369211835326,0.0130220256898935,6,8.33261293012224e-16
-3,QPSK,4,16,6,0.0006,0.0006,0,0.000275009722140411,0.00130854194065281,6,8.33261293012224e-16
0,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
3,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
6,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
9,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
12,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
15,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
18,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
21,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
24,QPSK,4,16,0,0,5e-05,1,0,0.000384012477766541,6,8.33261293012224e-16
-12,16-QAM,16,256,6634,0.6634,0.6634,0,0.654076901799899,0.672597602922367,7,1.32094785841494e-15
-9,16-QAM,16,256,5231,0.5231,0.5231,0,0.51330346946722,0.532878789156307,7,1.32094785841494e-15
-6,16-QAM,16,256,3367,0.3367,0.3367,0,0.327501681573969,0.346023736901269,7,1.32094785841494e-15
-3,16-QAM,16,256,1424,0.1424,0.1424,0,0.135687846857183,0.149386798866916,7,1.32094785841494e-15
0,16-QAM,16,256,279,0.0279,0.0279,0,0.024848971781962,0.0313136127995452,7,1.32094785841494e-15
3,16-QAM,16,256,19,0.0019,0.0019,0,0.00121673435420427,0.00296581887614676,7,1.32094785841494e-15
6,16-QAM,16,256,0,0,5e-05,1,0,0.000384012477766541,7,1.32094785841494e-15
9,16-QAM,16,256,0,0,5e-05,1,0,0.000384012477766541,7,1.32094785841494e-15
12,16-QAM,16,256,0,0,5e-05,1,0,0.000384012477766541,7,1.32094785841494e-15
15,16-QAM,16,256,0,0,5e-05,1,0,0.000384012477766541,7,1.32094785841494e-15
18,16-QAM,16,256,0,0,5e-05,1,0,0.000384012477766541,7,1.32094785841494e-15
21,16-QAM,16,256,0,0,5e-05,1,0,0.000384012477766541,7,1.32094785841494e-15
24,16-QAM,16,256,0,0,5e-05,1,0,0.000384012477766541,7,1.32094785841494e-15
-12,64-QAM,64,4096,8925,0.8925,0.8925,0,0.886277511342378,0.898421038862575,7,8.88825457617127e-16
