SNR_dB,ReferenceDesign,SymbolErrorCount,EmpiricalSER,PlottedSER,ZeroErrorPoint,SER_95CI_Lower,SER_95CI_Upper,NormalizedMinimumEnergyDistance
-15,No reference,29905,0.747625,0.747625,0,0.743344480890584,0.751857959867005,0
-13,No reference,30022,0.75055,0.75055,0,0.746285666841767,0.754766212135777,0
-11,No reference,29998,0.74995,0.74995,0,0.745682325655064,0.754169668559411,0
-9,No reference,29790,0.74475,0.74475,0,0.740453820832072,0.748999172102487,0
-7,No reference,29951,0.748775,0.748775,0,0.744500813929541,0.753001405957261,0
-5,No reference,30006,0.75015,0.75015,0,0.745883438176102,0.754368517626062,0
-3,No reference,30080,0.752,0.752,0,0.747743786367318,0.756207814120971,0
-1,No reference,29842,0.74605,0.74605,0,0.741760871481852,0.750291871772686,0
1,No reference,29918,0.74795,0.74795,0,0.743671266647905,0.75218111168968,0
3,No reference,29936,0.7484,0.7484,0,0.744123744454117,0.752628547455767,0
-15,Constant,14633,0.365825,0.365825,0,0.361117818732689,0.370557951126374,8.95010862705489
-13,Constant,10764,0.2691,0.2691,0,0.264776103635339,0.273468243377574,8.95010862705489
-11,Constant,6720,0.168,0.168,0,0.16436802982058,0.171695734615484,8.95010862705489
-9,Constant,3138,0.07845,0.07845,0,0.0758552889556823,0.0811256745925786,8.95010862705489
-7,Constant,1024,0.0256,0.0256,0,0.0240971615064629,0.0271939524949484,8.95010862705489
-5,Constant,180,0.0045,0.0045,0,0.00388996783067561,0.00520519866953371,8.95010862705489
-3,Constant,16,0.0004,0.0004,0,0.000246237698481058,0.000649716254101336,8.95010862705489
-1,Constant,0,0,1.25e-05,1,0,9.60307772041573e-05,8.95010862705489
1,Constant,0,0,1.25e-05,1,0,9.60307772041573e-05,8.95010862705489
3,Constant,0,0,1.25e-05,1,0,9.60307772041573e-05,8.95010862705489
-15,Random,14677,0.366925,0.366925,0,0.362214723839799,0.371660834751554,9.37907729811176
-13,Random,10689,0.267225,0.267225,0,0.262910898435298,0.271583808693029,9.37907729811176
-11,Random,6557,0.163925,0.163925,0,0.160329270681259,0.167585276405639,9.37907729811176
-9,Random,3085,0.077125,0.077125,0,0.0745508803075723,0.0797803377222481,9.37907729811176
-7,Random,975,0.024375,0.024375,0,0.0229087948214389,0.0259325544553766,9.37907729811176
-5,Random,152,0.0038,0.0038,0,0.00324283575919429,0.00445246518410312,9.37907729811176
-3,Random,9,0.000225,0.000225,0,0.000118379854773714,0.000427607708580701,9.37907729811176
-1,Random,0,0,1.25e-05,1,0,9.60307772041573e-05,9.37907729811176
1,Random,0,0,1.25e-05,1,0,9.60307772041573e-05,9.37907729811176
3,Random,0,0,1.25e-05,1,0,9.60307772041573e-05,9.37907729811176
-15,Uniform,14581,0.364525,0.364525,0,0.359821510535313,0.36925450900377,9.79390435618978
-13,Uniform,10543,0.263575,0.263575,0,0.259280251298588,0.267915156854412,9.79390435618978
-11,Uniform,6349,0.158725,0.158725,0,0.155176684280519,0.162338861526462,9.79390435618978
-9,Uniform,2981,0.074525,0.074525,0,0.0719919491183821,0.0771397682714797,9.79390435618978
-7,Uniform,921,0.023025,0.023025,0,0.0216003295604755,0.0245412789994384,9.79390435618978
-5,Uniform,173,0.004325,0.004325,0,0.00372777251189172,0.00501742759908962,9.79390435618978
-3,Uniform,11,0.000275,0.000275,0,0.000153566007615918,0.000492411952660777,9.79390435618978
-1,Uniform,0,0,1.25e-05,1,0,9.60307772041573e-05,9.79390435618978
1,Uniform,0,0,1.25e-05,1,0,9.60307772041573e-05,9.79390435618978
3,Uniform,0,0,1.25e-05,1,0,9.60307772041573e-05,9.79390435618978
-15,Optimized,14581,0.364525,0.364525,0,0.359821510535313,0.36925450900377,9.79390435618978
-13,Optimized,10543,0.263575,0.263575,0,0.259280251298588,0.267915156854412,9.79390435618978
-11,Optimized,6349,0.158725,0.158725,0,0.155176684280519,0.162338861526462,9.79390435618978
-9,Optimized,2981,0.074525,0.074525,0,0.0719919491183821,0.0771397682714797,9.79390435618978
-7,Optimized,921,0.023025,0.023025,0,0.0216003295604755,0.0245412789994384,9.79390435618978
-5,Optimized,173,0.004325,0.004325,0,0.00372777251189172,0.00501742759908962,9.79390435618978
-3,Optimized,11,0.000275,0.000275,0,0.000153566007615918,0.000492411952660777,9.79390435618978
-1,Optimized,0,0,1.25e-05,1,0,9.60307772041573e-05,9.79390435618978
1,Optimized,0,0,1.25e-05,1,0,9.60307772041573e-05,9.79390435618978
3,Optimized,0,0,1.25e-05,1,0,9.60307772041573e-05,9.79390435618978
