PilotLength,Channel_NMSE_dB,NMSE_95CI_Lower_dB,NMSE_95CI_Upper_dB,JacobianSigmaMin,NoiseVariance
4,0.832421556883583,0.754395177819074,0.909070801017294,0.0572549783073571,1.80718800503397
6,-1.15550813109124,-1.24396896603344,-1.06881323224092,0.067391836900972,1.71145093958758
8,-6.05527490994466,-6.18273491489661,-5.93144928579405,0.699423475387199,1.63586287894693
10,-8.64153078841055,-8.73524327894369,-8.54979779658192,1.90640944381941,1.59091429399537
12,-10.3657067801512,-10.4661377371144,-10.267545900497,2.52887370199799,1.5721582238761
16,-12.963175675613,-13.0344901621137,-12.8930133340701,4.09430664272418,1.61139997690368
20,-14.2652353927353,-14.3276548827828,-14.2037003375832,5.42048175462106,1.59572509210793
24,-15.2530787449009,-15.3061331701475,-15.2006646305478,5.60276079881127,1.60720563513814
28,-16.1219204683844,-16.1729494775376,-16.0714840865757,6.24055268607351,1.59843247586955
32,-16.6957920921728,-16.7441766808308,-16.6479406204564,6.62837940381707,1.61002180832463
40,-17.599868381057,-17.6474590186135,-17.5527936010721,7.42719873953219,1.60842747536132
48,-18.6716729036074,-18.717999423977,-18.6258353405719,10.1917350072513,1.60085007240762
