PilotLength,ReferenceDesign,NoiselessRecoveryProbability,ChannelNMSEdB,NMSE95CILowerdB,NMSE95CIUpperdB,JacobianFullRankProbability,MedianJacobianSigmaMin
1,No reference,0,2.94751995333512,2.89086226115758,3.0034480026782,0,0
2,No reference,0,3.17556623567476,3.11859638350366,3.23179843504069,0,0
3,No reference,0,3.37831553438165,3.32111842082384,3.43476913649919,0,0
4,No reference,0,3.08315596690607,3.02834087206564,3.13728781991839,0,0
6,No reference,0.0003,3.03603171031678,2.98057427895584,3.09078989516441,0,0
8,No reference,0.0001,3.02621940259592,2.9710077368672,3.08073796700487,0,0
12,No reference,0.0001,3.00588698546818,2.9510025303615,3.06008647935391,0,0
16,No reference,0.0003,3.04712874949083,2.99257867246472,3.10100213464295,0,0
24,No reference,0.0002,3.00134251389669,2.94603557697414,3.05595397049016,0,0
32,No reference,0.0001,3.02201973117491,2.96709575348625,3.07625776695091,0,0
48,No reference,0.0001,3.0227015068263,2.96758208005543,3.07713013173432,0,0
1,Constant,0,2.15216291815952,2.03823262811163,2.26318067027087,0,0
2,Constant,0,3.10508644289103,2.99769215395012,3.20988899831913,0,0
3,Constant,0.0004,1.28813431929329,1.15140315565728,1.42069177423936,0,0
4,Constant,0.5402,0.862894350525079,0.712027957933153,1.00869537539866,1,0.718974215756835
6,Constant,0.9973,-5.09038414508965,-5.22327780212477,-4.96143656914012,1,2.34378020844598
8,Constant,1,-8.8272345453005,-9.00304127346993,-8.65826862354565,1,4.05172076183546
12,Constant,1,-12.8084785047323,-12.8863913776585,-12.7319387981272,1,6.27029878917925
16,Constant,1,-13.9772832806019,-14.0544307933878,-13.901482321095,1,6.89812325151586
24,Constant,1,-16.12074767771,-16.1940659405393,-16.0486466637253,1,9.26886193211448
32,Constant,1,-17.5016498561841,-17.573061860897,-17.431393124105,1,11.1567207800413
48,Constant,1,-19.2646813683735,-19.3346509909406,-19.1958211828269,1,13.7511013294558
1,Random phase,0,2.84970376500803,2.74018528282407,2.95652825470333,0,0
2,Random phase,0,2.43724300975184,2.32668127648694,2.54505982178472,0,0
3,Random phase,0.0003,2.85764072266524,2.7328721378327,2.97892470360366,0,0
4,Random phase,0.5401,1.49693872905354,1.36631363830312,1.62374938814726,1,0.531699253122559
6,Random phase,0.994,-2.34982688483647,-2.53316200501096,-2.17391869412715,1,1.91682191344008
8,Random phase,0.9994,-6.92516271226135,-7.16164454626282,-6.70089552662636,1,3.54160921756092
12,Random phase,1,-11.5305859790148,-11.663883807334,-11.4012579140723,1,5.43044829551903
16,Random phase,1,-13.3898669280736,-13.4985252749265,-13.2838609341149,1,6.61640192835847
24,Random phase,1,-15.8133154067476,-15.8921693244013,-15.7358677279311,1,8.90425721786005
32,Random phase,1,-17.3087773705972,-17.38265615537,-17.2361343612562,1,10.6498389998093
48,Random phase,1,-19.2868425966571,-19.3582046771472,-19.2166341870732,1,13.5865216918658
1,Four-phase,0,2.13697400503509,2.02621126822579,2.2449819547232,0,0
2,Four-phase,0,3.14741790233443,3.03901371586689,3.25318197938116,0,0
3,Four-phase,0.0006,1.23145628445166,1.09425126297044,1.36445906047854,0,0
4,Four-phase,0.5389,1.30631443485596,1.16188801769976,1.44609207446618,1,0.756611202558806
6,Four-phase,0.993,-2.50063432651635,-2.66470837962758,-2.34253390449295,1,1.90674551725484
8,Four-phase,1,-7.7351098377182,-7.92169886901332,-7.55620821781665,1,3.65527594518598
12,Four-phase,1,-11.9276154238067,-12.0243121855038,-11.8330248306349,1,5.30543980028423
16,Four-phase,1,-14.2745072905243,-14.3482490965315,-14.2019967197706,1,7.31578461166214
24,Four-phase,1,-16.1182375881935,-16.1905777660367,-16.0470826607698,1,9.21423793888716
32,Four-phase,1,-17.3332968221968,-17.4063463607554,-17.2614556993055,1,10.6980124777497
48,Four-phase,1,-19.3349691863937,-19.4054254371567,-19.2656377345375,1,13.7739573190448
