SNR_dB,ML_SER,Linearized_SER,Projected_WF_SER,GS_SER,Union_bound,Projected_WF_iterations,GS_iterations
-15,0.574333333333333,0.57455,0.56905,0.59865,1,20.9555333333333,25
-13,0.523116666666667,0.525333333333333,0.517466666666667,0.551533333333333,1,21.8044333333333,25
-11,0.451466666666667,0.462983333333333,0.447516666666667,0.4888,1,22.6219666666667,25
-9,0.365466666666667,0.385933333333333,0.362083333333333,0.40475,1,23.0852333333333,25
-7,0.264383333333333,0.29995,0.266433333333333,0.310016666666667,0.720603805986416,23.2913333333333,25
-5,0.16375,0.204816666666667,0.164983333333333,0.213733333333333,0.333450222802066,23.3483,25
-3,0.0786,0.12205,0.0817,0.122083333333333,0.118090910868961,23.3608,25
-1,0.0236666666666667,0.0529666666666667,0.0266333333333333,0.05225,0.0298254627092131,23.1513666666667,25
1,0.00431666666666667,0.01645,0.00535,0.017,0.00470342920587871,23.1776333333333,25
3,0.000316666666666667,0.00275,0.000383333333333333,0.00306666666666667,0.00035176120454049,23.0259333333333,25
5,0,0.000183333333333333,0,0.000283333333333333,7.66489762709027e-06,23.012,25
7,0,0,0,0,2.22376284866584e-08,22.9336333333333,24.9991666666667
9,0,0,0,0,2.54516163791971e-12,21.6731333333333,23.5541666666667
11,0,0,0,0,1.72060838166509e-18,3.7999,4.13166666666667
13,0,0,0,0,3.44054028547752e-28,0.00193333333333333,0.0025
15,0,0,0,0,1.78755198111758e-43,0,0
