SNR_dB,ReferenceDesign,Channel_NMSE_dB,NMSE_95CI_Lower_dB,NMSE_95CI_Upper_dB,JacobianSigmaMin,JacobianConditionNumber,NoiseVariance
0,No reference,3.15184089562162,3.10633895920389,3.19687103760225,3.68547346068908e-16,5.40692688300084e+16,4.40337757055565
3,No reference,3.12413515512708,3.08087731753873,3.16696636954582,3.68547346068908e-16,5.40692688300084e+16,2.20691662320316
6,No reference,3.10838895504616,3.06677173350577,3.14961115283819,3.68547346068908e-16,5.40692688300084e+16,1.10607843722924
9,No reference,3.06395990658752,3.02052033416037,3.10696928145181,3.68547346068908e-16,5.40692688300084e+16,0.554352392129697
12,No reference,3.0864545183786,3.04174596741334,3.13070750194696,3.68547346068908e-16,5.40692688300084e+16,0.277834341866144
15,No reference,3.0487262529363,3.00476905739723,3.09224298930851,3.68547346068908e-16,5.40692688300084e+16,0.139247025206546
18,No reference,3.07248862079794,3.02835960179681,3.11617374785431,3.68547346068908e-16,5.40692688300084e+16,0.069788831354096
21,No reference,3.03543727751304,2.99372385831458,3.0767538533613,3.68547346068908e-16,5.40692688300084e+16,0.0349772713244396
24,No reference,3.0307026237749,2.9857021743688,3.07524156829169,3.68547346068908e-16,5.40692688300084e+16,0.0175301618549264
0,Constant,-4.52141658349265,-4.57769354016251,-4.46585955848443,8.63507438396964,3.36254869839551,24.8236744967625
3,Constant,-7.47288303189242,-7.52917568054717,-7.41731071387555,8.63507438396964,3.36254869839551,12.4413087494963
6,Constant,-10.4910229081648,-10.5433352134636,-10.439333230738,8.63507438396964,3.36254869839551,6.23542511486283
9,Constant,-13.4985881328216,-13.5514030549954,-13.4464077879962,8.63507438396964,3.36254869839551,3.12511546380812
12,Constant,-16.5051393909243,-16.5582300112325,-16.4526899502113,8.63507438396964,3.36254869839551,1.5662679740718
15,Constant,-19.5091411894015,-19.5623720948031,-19.4565548360122,8.63507438396964,3.36254869839551,0.784993513044038
18,Constant,-22.51133762212,-22.5646837262158,-22.4586388459174,8.63507438396964,3.36254869839551,0.393428727217895
21,Constant,-25.5126368403477,-25.5660526434922,-25.4598700474576,8.63507438396964,3.36254869839551,0.197181455423836
24,Constant,-28.5134524359923,-28.5669083669423,-28.4606464848602,8.63507438396964,3.36254869839551,0.0988248281664715
0,Random,-4.73873023788603,-4.79261420514676,-4.68550663708679,8.25038229692883,3.40619206456307,26.2136624256198
3,Random,-7.7051697001005,-7.75178208879645,-7.65905228962075,8.25038229692883,3.40619206456307,13.1379529543356
6,Random,-10.6942635282069,-10.7404000499554,-10.6486119822595,8.25038229692883,3.40619206456307,6.58457429670869
9,Random,-13.6995016425394,-13.745302974116,-13.6541783019293,8.25038229692883,3.40619206456307,3.30010457638067
12,Random,-16.702154274626,-16.7479023469988,-16.6568830879978,8.25038229692883,3.40619206456307,1.65397028331693
15,Random,-19.7039266369687,-19.7495316462298,-19.6587955509096,8.25038229692883,3.40619206456307,0.828948790797327
18,Random,-22.7050515137538,-22.7506009091847,-22.6599748923426,8.25038229692883,3.40619206456307,0.415458551278385
21,Random,-25.7056072460477,-25.7511801981424,-25.6605075545697,8.25038229692883,3.40619206456307,0.208222522002008
24,Random,-28.7058115060599,-28.7514458239714,-28.6606517175282,8.25038229692883,3.40619206456307,0.10435846978108
0,Uniform,-5.50085651964674,-5.55121333505681,-5.45107690945328,9.9461555416146,2.35287751030069,22.0812892896777
3,Uniform,-8.42235611781093,-8.47113675442288,-8.37411731264929,9.9461555416146,2.35287751030069,11.0668602940171
6,Uniform,-11.4015775078398,-11.4485130922648,-11.355143752592,9.9461555416146,2.35287751030069,5.54656909569793
9,Uniform,-14.3966837192005,-14.442944989137,-14.3509100374211,9.9461555416146,2.35287751030069,2.77986962119536
12,Uniform,-17.3962200669636,-17.4421710925051,-17.3507501455794,9.9461555416146,2.35287751030069,1.3932351652914
15,Uniform,-20.3970988321664,-20.4429269178737,-20.3517492930981,9.9461555416146,2.35287751030069,0.698271678284631
18,Uniform,-23.398221701297,-23.4440168788646,-23.3529043869246,9.9461555416146,2.35287751030069,0.349964850759747
21,Uniform,-26.3992237961625,-26.4450243007188,-26.3539012654006,9.9461555416146,2.35287751030069,0.175397915419059
24,Uniform,-29.4000227442587,-29.445841582421,-29.3546822606315,9.9461555416146,2.35287751030069,0.0879071960128684
0,Optimized,-5.50085651964674,-5.55121333505681,-5.45107690945328,9.9461555416146,2.35287751030069,22.0812892896777
3,Optimized,-8.42235611781093,-8.47113675442288,-8.37411731264929,9.9461555416146,2.35287751030069,11.0668602940171
6,Optimized,-11.4015775078398,-11.4485130922648,-11.355143752592,9.9461555416146,2.35287751030069,5.54656909569793
9,Optimized,-14.3966837192005,-14.442944989137,-14.3509100374211,9.9461555416146,2.35287751030069,2.77986962119536
12,Optimized,-17.3962200669636,-17.4421710925051,-17.3507501455794,9.9461555416146,2.35287751030069,1.3932351652914
15,Optimized,-20.3970988321664,-20.4429269178737,-20.3517492930981,9.9461555416146,2.35287751030069,0.698271678284631
18,Optimized,-23.398221701297,-23.4440168788646,-23.3529043869246,9.9461555416146,2.35287751030069,0.349964850759747
21,Optimized,-26.3992237961625,-26.4450243007188,-26.3539012654006,9.9461555416146,2.35287751030069,0.175397915419059
24,Optimized,-29.4000227442587,-29.445841582421,-29.3546822606315,9.9461555416146,2.35287751030069,0.0879071960128684
