Angular_separation_deg,Steering_correlation,Normalized_sigma_min_V,Channel_NMSE_dB,Perfect_CSI_ML_SER,Estimated_CSI_ML_SER
0.25,0.999540398477328,0.0214383190262623,-11.9008487188078,0.1943,0.25890625
0.5,0.998164529003348,0.0428423971861008,-11.8486416453063,0.1888,0.26734375
1,0.99268777962473,0.0855115218860611,-11.8190707721818,0.17955,0.256666666666667
2,0.971085013438666,0.170044072408697,-12.0320131642552,0.12805,0.202604166666667
3,0.935970145175141,0.253041211712358,-11.8996118629034,0.0902,0.151510416666667
5,0.829965065207701,0.412352925043947,-11.9224360350707,0.04795,0.0648958333333333
8,0.605830391822762,0.627829282669452,-12.2791191662714,0.0177,0.0257291666666667
12,0.265283878655433,0.857155832590881,-12.6787069666271,0.01245,0.0143229166666667
16,0.0208194149146942,0.989535540081965,-13.021516234798,0.0104,0.0122916666666667
20,0.185722086744794,0.902373488781228,-13.619340028259,0.0109,0.0131770833333333
