RSR_dB,RSR_linear,SignalEnergy,ReferenceEnergy,InterferenceDepthKappa,NormalizedPhaseInformation,PhaseRMSE_SNR15_deg,PhaseCRLB_SNR15_deg,PhaseSuccess_SNR15,NoiseVariance_SNR15,PhaseRMSE_SNR20_deg,PhaseCRLB_SNR20_deg,PhaseSuccess_SNR20,NoiseVariance_SNR20,PhaseRMSE_SNR25_deg,PhaseCRLB_SNR25_deg,PhaseSuccess_SNR25,NoiseVariance_SNR25
-24,0.00398107170553497,0.996034714380848,0.00396528561915233,0.125691083679167,0.0157982485164435,63.9870516048245,57.5455437215056,0.148928125,0.0318725688434505,39.9878642056985,32.3602373151506,0.243396875,0.0100789912425822,19.625816443734,18.197498735276,0.414396875,0.00318725688434505
-21,0.00794328234724281,0.99211931614967,0.00788068385033025,0.1768454542518,0.0312743146895256,50.4804718352468,41.0566040451886,0.1976875,0.0321172669350826,26.4831928661524,23.0878251265868,0.333925,0.0101563715734476,13.390384507702,12.9832381774479,0.554796875,0.00321172669350826
-18,0.0158489319246111,0.98439833775817,0.0156016622418296,0.247856816546339,0.0614330015084858,35.9140698376105,29.5104873423926,0.265878125,0.0325941176430207,17.5237374919757,16.5949665591341,0.451265625,0.0103071650075424,9.45601176192923,9.33203548635299,0.714384375,0.00325941176430207
-15,0.0316227766016838,0.969346569968284,0.0306534300317156,0.344753809313291,0.118855189036025,24.2113351047722,21.5096924771537,0.354659375,0.0335020421471024,12.3813545273937,12.0957889720395,0.590140625,0.0105942759451801,6.86645074482271,6.8019619997595,0.8558625,0.00335020421471024
-12,0.0630957344480193,0.940649056897232,0.0593509431027677,0.472560720566489,0.223313634622319,16.9601022049355,16.0744226188143,0.4635,0.0351536751915696,9.16109878732666,9.03931211713375,0.7280125,0.0111165681731116,5.10049302544413,5.08317875475817,0.94980625,0.00351536751915696
-9,0.125892541179417,0.888184230221883,0.111815769778117,0.630279313977681,0.397252013628176,12.8466420715643,12.514584329861,0.574384375,0.0379038824424502,7.09583363037553,7.03746793626042,0.84218125,0.0119862600681409,3.95492503270006,3.95745904526128,0.9885125,0.00379038824424502
-6,0.251188643150958,0.799239991086898,0.200760008913102,0.801137760274257,0.641821710937252,10.5332798540024,10.3356355553518,0.663496875,0.0417708688932234,5.85156900290576,5.81215499488099,0.91255625,0.0132091085546863,3.26626717082254,3.26841494203308,0.997753125,0.00417708688932234
-3,0.501187233627272,0.666139424583122,0.333860575416878,0.943181194891393,0.889590766396756,9.31896080401111,9.18154303071978,0.720971875,0.0456884416380264,5.1852461427023,5.16316107518717,0.945890625,0.0144479538319838,2.90326213525084,2.90345884119198,0.999484375,0.00456884416380264
0,1,0.5,0.5,1,1,8.92987154848243,8.82375140599268,0.740890625,0.0474341649025257,4.98442236037736,4.96196005879613,0.95499375,0.015,2.7974888377157,2.790315195005,0.99963125,0.00474341649025257
3,1.99526231496888,0.333860575416878,0.666139424583122,0.943181194891393,0.889590766396756,9.30951159013571,9.18154303071978,0.720378125,0.0456884416380264,5.18483752024329,5.16316107518717,0.94576875,0.0144479538319838,2.90644701162273,2.90345884119198,0.99935625,0.00456884416380264
6,3.98107170553497,0.200760008913102,0.799239991086898,0.801137760274257,0.641821710937252,10.5483548406786,10.3356355553518,0.662465625,0.0417708688932234,5.84444860655445,5.81215499488099,0.912271875,0.0132091085546863,3.27331575929372,3.26841494203308,0.99771875,0.00417708688932234
9,7.94328234724282,0.111815769778117,0.888184230221883,0.630279313977681,0.397252013628176,12.8544751925738,12.514584329861,0.57360625,0.0379038824424502,7.09350905879134,7.03746793626042,0.84265625,0.0119862600681409,3.96053568225914,3.95745904526128,0.98818125,0.00379038824424502
12,15.8489319246111,0.0593509431027676,0.940649056897232,0.472560720566488,0.223313634622319,16.901870642545,16.0744226188143,0.465025,0.0351536751915696,9.16078590946725,9.03931211713375,0.729375,0.0111165681731116,5.1022984241213,5.08317875475817,0.94975625,0.00351536751915696
15,31.6227766016838,0.0306534300317155,0.969346569968284,0.344753809313291,0.118855189036025,24.182676149764,21.5096924771537,0.355690625,0.0335020421471023,12.4229239644607,12.0957889720395,0.588634375,0.0105942759451801,6.8607057262264,6.80196199975951,0.85596875,0.00335020421471023
18,63.0957344480193,0.0156016622418296,0.98439833775817,0.24785681654634,0.0614330015084859,35.9582840449164,29.5104873423926,0.265625,0.0325941176430207,17.572945360206,16.5949665591341,0.451128125,0.0103071650075424,9.47187630382216,9.33203548635299,0.713675,0.00325941176430207
21,125.892541179417,0.00788068385033028,0.99211931614967,0.176845454251801,0.0312743146895257,50.4494506872897,41.0566040451885,0.195840625,0.0321172669350826,26.5107466535723,23.0878251265868,0.3331875,0.0101563715734476,13.3611377205252,12.9832381774478,0.557584375,0.00321172669350826
24,251.188643150958,0.0039652856191522,0.996034714380848,0.125691083679166,0.015798248516443,64.1684331108983,57.5455437215065,0.148275,0.0318725688434505,40.0060200996221,32.3602373151511,0.24268125,0.0100789912425822,19.5608516524032,18.1974987352763,0.41648125,0.00318725688434505
