SNR_dB,ML_SER,Linearized_SER,GS_SER,Union_bound,Certified_BP
-15,0.572333333333333,0.5698,0.595333333333333,1,25
-13,0.523766666666667,0.52705,0.551183333333333,1,25
-11,0.452666666666667,0.464666666666667,0.486666666666667,1,25
-9,0.371583333333333,0.389533333333333,0.409033333333333,1,25
-7,0.26395,0.298616666666667,0.307466666666667,0.720603805986416,25
-5,0.161033333333333,0.206666666666667,0.21125,0.333450222802066,25
-3,0.07755,0.119116666666667,0.11915,0.118090910868961,25
-1,0.0245,0.0541833333333333,0.05405,0.0298254627092131,25
1,0.0044,0.0162833333333333,0.01545,0.00470342920587871,25
3,0.000283333333333333,0.00305,0.00333333333333333,0.00035176120454049,25
5,0,0.0002,0.000266666666666667,7.66489762709027e-06,25
7,0,0,0,2.22376284866584e-08,24.9991666666667
9,0,0,0,2.54516163791971e-12,23.4975
11,0,0,0,1.72060838166509e-18,4.04583333333333
13,0,0,0,3.44054028547752e-28,0.00166666666666667
15,0,0,0,1.78755198111758e-43,0
