Training_SNR_dB,Fixed_short_SER,Stability_guided_SER,Fixed_long_SER,Perfect_CSI_SER
0,0.179408333333333,0.143233333333333,0.143233333333333,0.132958333333333
2,0.160158333333333,0.137466666666667,0.137466666666667,0.133091666666667
4,0.148433333333333,0.133858333333333,0.133858333333333,0.130666666666667
6,0.143833333333333,0.135166666666667,0.135166666666667,0.132525
8,0.14055,0.136183333333333,0.135958333333333,0.134383333333333
10,0.136491666666667,0.134066666666667,0.133225,0.1324
12,0.132991666666667,0.132091666666667,0.131291666666667,0.130883333333333
14,0.134675,0.1347,0.134125,0.133716666666667
16,0.132466666666667,0.132466666666667,0.131616666666667,0.131816666666667
18,0.132875,0.132875,0.13185,0.131875
20,0.130725,0.130725,0.130483333333333,0.130358333333333
