PilotLength,ReferenceDesign,NoiselessRecoveryProbability,ChannelNMSEdB,NMSE95CILowerdB,NMSE95CIUpperdB,JacobianFullRankProbability,MedianJacobianSigmaMin
1,No reference,0,2.94751995333512,2.89086226115758,3.0034480026782,0,0
2,No reference,0,3.17556623567476,3.11859638350366,3.23179843504069,0,0
3,No reference,0,3.37831553438165,3.32111842082384,3.43476913649919,0,0
4,No reference,0,3.08315596690607,3.02834087206564,3.13728781991839,0,0
6,No reference,0.0003,3.03603171031678,2.98057427895584,3.09078989516441,0,0
8,No reference,0.0001,3.02621940259592,2.9710077368672,3.08073796700487,0,0
12,No reference,0.0001,3.00588698546818,2.9510025303615,3.06008647935391,0,0
16,No reference,0.0003,3.04712874949083,2.99257867246472,3.10100213464295,0,0
24,No reference,0.0002,3.00134251389669,2.94603557697414,3.05595397049016,0,0
32,No reference,0.0001,3.02201973117491,2.96709575348625,3.07625776695091,0,0
48,No reference,0.0001,3.0227015068263,2.96758208005543,3.07713013173432,0,0
1,Constant,0,2.15216291815952,2.03823262811163,2.26318067027087,0,0
2,Constant,0,3.10508644289103,2.99769215395012,3.20988899831913,0,0
3,Constant,0.0004,1.28813431929329,1.15140315565728,1.42069177423936,0,0
4,Constant,0.5402,0.862894350525079,0.712027957933153,1.00869537539866,1,0.718974215756835
6,Constant,0.9973,-5.09038414508965,-5.22327780212477,-4.96143656914012,1,2.34378020844598
8,Constant,1,-8.8272345453005,-9.00304127346993,-8.65826862354565,1,4.05172076183546
12,Constant,1,-12.8084785047323,-12.8863913776585,-12.7319387981272,1,6.27029878917925
16,Constant,1,-13.9772832806019,-14.0544307933878,-13.901482321095,1,6.89812325151586
24,Constant,1,-16.12074767771,-16.1940659405393,-16.0486466637253,1,9.26886193211448
32,Constant,1,-17.5016498561841,-17.573061860897,-17.431393124105,1,11.1567207800413
48,Constant,1,-19.2646813683735,-19.3346509909406,-19.1958211828269,1,13.7511013294558
