RSR_dB,Mean_dmin,Std_dmin,SER_m6dB,SER_m3dB,SER_0dB
-24,0.903594552174504,0.0356705349384008,0.673041666666667,0.631263888888889,0.574847222222222
-21,1.27134387230395,0.0501879033097377,0.635833333333333,0.575180555555556,0.498666666666667
-18,1.78184531945211,0.0703405919938168,0.588319444444444,0.505986111111111,0.390944444444444
-15,2.47843884242467,0.0978395001482096,0.521152777777778,0.401638888888889,0.259930555555556
-12,3.39724410178119,0.134110496942725,0.431958333333333,0.282791666666667,0.136638888888889
-9,4.53108476582345,0.178870287629786,0.337888888888889,0.174263888888889,0.0535277777777778
-6,5.75938797355667,0.227359106404709,0.250638888888889,0.0941388888888889,0.0155138888888889
-3,6.42200042335109,0.222978875236643,0.203180555555556,0.0684166666666667,0.00713888888888889
0,5.88279826314647,0.233541843743422,0.209763888888889,0.0730138888888889,0.0104722222222222
3,5.0455755797649,0.197284069905928,0.255513888888889,0.11125,0.0244861111111111
6,4.08245660237592,0.148454795668605,0.335597222222222,0.190375,0.0675555555555555
9,3.14491434907537,0.105673718816736,0.425583333333333,0.297277777777778,0.158194444444444
12,2.34110573623014,0.073674590848458,0.512347222222222,0.409305555555556,0.276138888888889
15,1.70591749104393,0.0507952097678796,0.579125,0.508083333333333,0.400916666666667
18,1.22795554475011,0.0351603095266622,0.629236111111111,0.579986111111111,0.502361111111111
21,0.877808514322137,0.0244666132161675,0.666930555555555,0.628541666666667,0.575444444444445
24,0.625050779637744,0.0171042088741551,0.692569444444444,0.665236111111111,0.627180555555556
