SNR_dB,FixedShort_Channel_NMSE_dB,FixedShort_NMSE_CI95_dB,FixedShort_DOA_RMSE_deg,FixedShort_Success,FixedShort_Average_Tp,FixedShort_Median_Tp,Residual_adaptive_Channel_NMSE_dB,Residual_adaptive_NMSE_CI95_dB,Residual_adaptive_DOA_RMSE_deg,Residual_adaptive_Success,Residual_adaptive_Average_Tp,Residual_adaptive_Median_Tp,Stability_guided_Channel_NMSE_dB,Stability_guided_NMSE_CI95_dB,Stability_guided_DOA_RMSE_deg,Stability_guided_Success,Stability_guided_Average_Tp,Stability_guided_Median_Tp,OracleStopping_Channel_NMSE_dB,OracleStopping_NMSE_CI95_dB,OracleStopping_DOA_RMSE_deg,OracleStopping_Success,OracleStopping_Average_Tp,OracleStopping_Median_Tp,FixedLong_Channel_NMSE_dB,FixedLong_NMSE_CI95_dB,FixedLong_DOA_RMSE_deg,FixedLong_Success,FixedLong_Average_Tp,FixedLong_Median_Tp,ProposedPredictedChannelCRLBNMSE_dB
0,-14.0104270100552,0.263255266034296,2.57804582424558,0.06,8,8,-14.1290957717539,0.269432836606414,2.54265495991457,0.0766666666666667,8.36,8,-20.8825703709585,0.254883586940391,1.14339988899353,0.523333333333333,40,40,-20.9725896813362,0.266705850161941,1.12399015234904,0.55,38.5733333333333,40,-20.8825703709585,0.254883586940391,1.14339988899353,0.523333333333333,40,40,-18.4457993390996
2,-16.2393565463825,0.249622992709632,2.01329768243654,0.136666666666667,8,8,-16.3410433204209,0.255079390878887,1.99361715447744,0.146666666666667,8.34666666666667,8,-23.1536792066148,0.250626072082241,0.895273388520634,0.736666666666667,40,40,-23.237339474369,0.253882476470714,0.883943306440878,0.743333333333333,35.9866666666667,40,-23.1536792066148,0.250626072082241,0.895273388520634,0.736666666666667,40,40,-20.4392282484588
4,-18.1800521646041,0.254905543656783,1.62439912768312,0.3,8,8,-18.3009285571843,0.263359364405336,1.5997741304855,0.326666666666667,8.42666666666667,8,-25.3381825646629,0.245774982701111,0.684262957937101,0.883333333333333,40,40,-25.1200124082782,0.192655068241539,0.70779938934786,0.883333333333333,30.2133333333333,32,-25.3381825646629,0.245774982701111,0.684262957937101,0.883333333333333,40,40,-22.4591526917494
6,-20.3019112327085,0.260237985166828,1.23298670753192,0.43,8,8,-20.423779388754,0.255813508229572,1.21348458559907,0.43,8.38666666666667,8,-27.1138503306417,0.254849745002041,0.565567197304658,0.953333333333333,40,40,-25.8921953418201,0.13840675256219,0.659497470373519,0.923333333333333,22.8266666666667,20,-27.1138503306417,0.254849745002041,0.565567197304658,0.953333333333333,40,40,-24.4099489686101
8,-22.0972765486966,0.26242547602855,1.01243314719266,0.626666666666667,8,8,-22.2173841958895,0.263790893712475,0.995220416932928,0.646666666666667,8.33333333333333,8,-28.1556939044909,0.260762189817466,0.500250391253252,0.973333333333333,30.92,32,-26.1869568400096,0.111632485385819,0.616624713961473,0.97,16.3866666666667,16,-29.3509521281234,0.264135279814894,0.43686335521173,0.996666666666667,40,40,-25.307035189481
10,-24.1183560635806,0.267196087268644,0.794462562606942,0.813333333333333,8,8,-24.2100601665856,0.276621545678577,0.781981247253219,0.82,8.34666666666667,8,-28.1318321963193,0.26888310746487,0.508511185656842,0.983333333333333,20.04,20,-26.5669427574111,0.137438306188589,0.596678416579102,0.97,11.84,12,-31.1058972844055,0.243662947610712,0.359579194585264,1,40,40,-25.4263623823908
12,-26.3561589833485,0.281652583139742,0.608010721727025,0.943333333333333,8,8,-26.437192355441,0.289097792095127,0.601904221759537,0.943333333333333,8.28,8,-28.33530761327,0.275482714408312,0.492898453082788,0.996666666666667,12.6,12,-27.3739005821381,0.192002307608853,0.542261551386776,0.983333333333333,9.04,8,-33.3649205384108,0.253981823425526,0.279560550218444,1,40,40,-25.3931804045371
14,-28.166214786744,0.256121319127313,0.488185687623007,0.99,8,8,-28.2830965841786,0.267608079378547,0.483383541803555,0.99,8.37333333333333,8,-28.2033855286985,0.259277578541273,0.487840154279942,0.99,8.06666666666667,8,-28.4040600485306,0.223790722913893,0.476126983163784,0.993333333333333,8.18666666666667,8,-35.2008421329968,0.267861597520337,0.2215653602518,1,40,40,-25.4440054139986
16,-30.202330033226,0.260023970337599,0.395824480084572,0.996666666666667,8,8,-30.2778955422964,0.26308077035015,0.393630422073383,0.996666666666667,8.38666666666667,8,-30.202330033226,0.260023970337599,0.395824480084572,0.996666666666667,8,8,-30.202330033226,0.260023970337599,0.395824480084572,0.996666666666667,8,8,-37.4686228746516,0.236947967892597,0.171001897922906,1,40,40,-27.4311736922976
18,-32.1504977903122,0.239044357687288,0.313772960794322,1,8,8,-32.2999112652124,0.250013886592001,0.308151488822985,1,8.50666666666667,8,-32.1504977903122,0.239044357687288,0.313772960794322,1,8,8,-32.1504977903122,0.239044357687288,0.313772960794322,1,8,8,-39.2122960001551,0.245439840348894,0.139409307157997,1,40,40,-29.4301690947276
20,-34.1847421778789,0.252475019280823,0.252934824736268,1,8,8,-34.2676012347422,0.259049150599303,0.250003844013451,1,8.24,8,-34.1847421778789,0.252475019280823,0.252934824736268,1,8,8,-34.1847421778789,0.252475019280823,0.252934824736268,1,8,8,-41.2932823307129,0.265816936349282,0.120057274738837,1,40,40,-31.4233952019071
