SNR_dB,MethodIndex,Method,SelectedTp,Probability
0,1,Fixed short,8,1
0,1,Fixed short,12,0
0,1,Fixed short,16,0
0,1,Fixed short,20,0
0,1,Fixed short,24,0
0,1,Fixed short,28,0
0,1,Fixed short,32,0
0,1,Fixed short,36,0
0,1,Fixed short,40,0
0,2,Residual-adaptive,8,0.933333333333333
0,2,Residual-adaptive,12,0.0533333333333333
0,2,Residual-adaptive,16,0.00666666666666667
0,2,Residual-adaptive,20,0.00333333333333333
0,2,Residual-adaptive,24,0.00333333333333333
0,2,Residual-adaptive,28,0
0,2,Residual-adaptive,32,0
0,2,Residual-adaptive,36,0
0,2,Residual-adaptive,40,0
0,3,Stability-guided,8,0
0,3,Stability-guided,12,0
0,3,Stability-guided,16,0
0,3,Stability-guided,20,0
0,3,Stability-guided,24,0
0,3,Stability-guided,28,0
0,3,Stability-guided,32,0
0,3,Stability-guided,36,0
0,3,Stability-guided,40,1
0,4,Oracle stopping,8,0
0,4,Oracle stopping,12,0.01
0,4,Oracle stopping,16,0.00666666666666667
0,4,Oracle stopping,20,0.0166666666666667
0,4,Oracle stopping,24,0.0166666666666667
0,4,Oracle stopping,28,0.01
0,4,Oracle stopping,32,0.0233333333333333
0,4,Oracle stopping,36,0.02
0,4,Oracle stopping,40,0.896666666666667
0,5,Fixed long,8,0
0,5,Fixed long,12,0
0,5,Fixed long,16,0
0,5,Fixed long,20,0
0,5,Fixed long,24,0
0,5,Fixed long,28,0
0,5,Fixed long,32,0
0,5,Fixed long,36,0
0,5,Fixed long,40,1
2,1,Fixed short,8,1
2,1,Fixed short,12,0
2,1,Fixed short,16,0
2,1,Fixed short,20,0
2,1,Fixed short,24,0
2,1,Fixed short,28,0
2,1,Fixed short,32,0
2,1,Fixed short,36,0
2,1,Fixed short,40,0
2,2,Residual-adaptive,8,0.95
2,2,Residual-adaptive,12,0.0333333333333333
2,2,Residual-adaptive,16,0.00666666666666667
2,2,Residual-adaptive,20,0.00666666666666667
2,2,Residual-adaptive,24,0
2,2,Residual-adaptive,28,0
2,2,Residual-adaptive,32,0.00333333333333333
2,2,Residual-adaptive,36,0
2,2,Residual-adaptive,40,0
2,3,Stability-guided,8,0
2,3,Stability-guided,12,0
2,3,Stability-guided,16,0
2,3,Stability-guided,20,0
2,3,Stability-guided,24,0
2,3,Stability-guided,28,0
2,3,Stability-guided,32,0
2,3,Stability-guided,36,0
2,3,Stability-guided,40,1
2,4,Oracle stopping,8,0.00333333333333333
2,4,Oracle stopping,12,0.0133333333333333
2,4,Oracle stopping,16,0.0266666666666667
2,4,Oracle stopping,20,0.04
2,4,Oracle stopping,24,0.0466666666666667
2,4,Oracle stopping,28,0.0433333333333333
2,4,Oracle stopping,32,0.0766666666666667
2,4,Oracle stopping,36,0.0533333333333333
2,4,Oracle stopping,40,0.696666666666667
2,5,Fixed long,8,0
2,5,Fixed long,12,0
2,5,Fixed long,16,0
2,5,Fixed long,20,0
2,5,Fixed long,24,0
2,5,Fixed long,28,0
2,5,Fixed long,32,0
2,5,Fixed long,36,0
2,5,Fixed long,40,1
4,1,Fixed short,8,1
4,1,Fixed short,12,0
4,1,Fixed short,16,0
4,1,Fixed short,20,0
4,1,Fixed short,24,0
4,1,Fixed short,28,0
4,1,Fixed short,32,0
4,1,Fixed short,36,0
4,1,Fixed short,40,0
4,2,Residual-adaptive,8,0.933333333333333
4,2,Residual-adaptive,12,0.0366666666666667
4,2,Residual-adaptive,16,0.0233333333333333
4,2,Residual-adaptive,20,0.00333333333333333
4,2,Residual-adaptive,24,0.00333333333333333
