SNR_dB,FixedShort_Channel_NMSE_dB,FixedShort_NMSE_CI95_dB,FixedShort_DOA_RMSE_deg,FixedShort_Success,FixedShort_Average_Tp,FixedShort_Median_Tp,Residual_adaptive_Channel_NMSE_dB,Residual_adaptive_NMSE_CI95_dB,Residual_adaptive_DOA_RMSE_deg,Residual_adaptive_Success,Residual_adaptive_Average_Tp,Residual_adaptive_Median_Tp,Stability_guided_Channel_NMSE_dB,Stability_guided_NMSE_CI95_dB,Stability_guided_DOA_RMSE_deg,Stability_guided_Success,Stability_guided_Average_Tp,Stability_guided_Median_Tp,OracleStopping_Channel_NMSE_dB,OracleStopping_NMSE_CI95_dB,OracleStopping_DOA_RMSE_deg,OracleStopping_Success,OracleStopping_Average_Tp,OracleStopping_Median_Tp,FixedLong_Channel_NMSE_dB,FixedLong_NMSE_CI95_dB,FixedLong_DOA_RMSE_deg,FixedLong_Success,FixedLong_Average_Tp,FixedLong_Median_Tp,ProposedPredictedChannelCRLBNMSE_dB
0,-14.1202976887544,0.143932680536942,2.53685710011055,0.098,8,8,-14.2220807902052,0.147925548395488,2.49699841776892,0.103,8.396,8,-21.1662877855211,0.138250295229945,1.11492180646828,0.532,40,40,-21.2232911934382,0.142791274353304,1.10815845786876,0.545,38.792,40,-21.1662877855211,0.138250295229945,1.11492180646828,0.532,40,40,-21.2766384557721
2,-16.1232635159796,0.145375168614748,1.97791539127527,0.164,8,8,-16.2243224882125,0.145287800990744,1.9573310808784,0.171,8.332,8,-23.3126496563044,0.13731623271018,0.88419663551087,0.728,40,40,-23.4136205324577,0.139112886044948,0.872909101863357,0.751,35.636,40,-23.3126496563044,0.13731623271018,0.88419663551087,0.728,40,40,-23.2859583354095
4,-18.2705533246758,0.141594987289633,1.56583969481631,0.298,8,8,-18.3902246591132,0.145858542016637,1.53392966553957,0.317,8.364,8,-25.1284791274085,0.146629010372138,0.714661690773156,0.874,39.112,40,-24.9225042996922,0.115938767870283,0.728244019596648,0.882,30.472,32,-25.2193570360965,0.145860714543655,0.708681916937858,0.882,40,40,-25.166605991195
6,-20.2446466175511,0.135582373635707,1.23268227676307,0.455,8,8,-20.3671987378355,0.137636887206462,1.21864205994855,0.467,8.416,8,-25.2760502034557,0.144968091633572,0.695380465455804,0.887,25.58,24,-25.8745348057658,0.0735109488493144,0.645546803519009,0.949,23.02,20,-27.1475986797847,0.142875698993542,0.568326644297151,0.964,40,40,-25.3513981272032
8,-22.4669886508848,0.140836395078626,0.941891967522266,0.693,8,8,-22.6097326196246,0.143623324626883,0.926224734235729,0.707,8.432,8,-25.5390778119804,0.143752640474048,0.661538862330124,0.91,16.5,16,-26.3547317901158,0.0679016164909783,0.607270545546836,0.973,15.932,16,-29.4890844454895,0.144019280644855,0.425418264434546,0.997,40,40,-25.4014748788051
10,-24.4041736796291,0.147580715273147,0.748767879616787,0.851,8,8,-24.5211312082028,0.151280970944608,0.741664934512609,0.855,8.404,8,-26.1482449098127,0.147505246981904,0.596816343892484,0.95,12,12,-26.6039102755732,0.0772455803365268,0.589602475096259,0.976,11.284,12,-31.2903780389759,0.145173823765305,0.34795685637316,1,40,40,-25.9946176389611
12,-26.2975186275175,0.140204713338374,0.619537841293741,0.956,8,8,-26.3804651066126,0.143631145062386,0.612737789019461,0.956,8.356,8,-26.2975186275175,0.140204713338374,0.619537841293741,0.956,8,8,-27.2632718363406,0.0980732037073757,0.557143401336547,0.989,9.036,8,-33.2726021751392,0.142923274834551,0.272631516836438,1,40,40,-26.2650036715234
14,-28.2963462035612,0.141418419224596,0.481924800186246,0.99,8,8,-28.3911043676694,0.144044818667162,0.476936508277316,0.99,8.352,8,-28.2963462035612,0.141418419224596,0.481924800186246,0.99,8,8,-28.5155129802493,0.123296119826467,0.469937619985241,0.995,8.172,8,-35.3153850685495,0.135901577254877,0.217130387544222,1,40,40,-28.2418471706342
16,-30.2002649305207,0.131190767262993,0.381677718100555,1,8,8,-30.2972811506621,0.134601781209337,0.378157887562919,1,8.344,8,-30.2002649305207,0.131190767262993,0.381677718100555,1,8,8,-30.2002649305207,0.131190767262993,0.381677718100555,1,8,8,-37.1201371179161,0.137704342326622,0.177401797665811,1,40,40,-30.2413105647614
18,-32.1966589265354,0.143560336065597,0.310577980709887,1,8,8,-32.2967889780846,0.146569591487555,0.305871530356084,1,8.376,8,-32.1966589265354,0.143560336065597,0.310577980709887,1,8,8,-32.1966589265354,0.143560336065597,0.310577980709887,1,8,8,-39.218486419277,0.144714883238308,0.140404035233527,1,40,40,-32.2501015721974
20,-34.3084343353031,0.141064444305073,0.241294801811671,1,8,8,-34.40427982653,0.144647146780237,0.238287847006026,1,8.384,8,-34.3084343353031,0.141064444305073,0.241294801811671,1,8,8,-34.3084343353031,0.141064444305073,0.241294801811671,1,8,8,-41.225694487387,0.140138205948674,0.111585408890844,1,40,40,-34.2496602055453
